Country,Animal Products,Animal fats,Cereals Excluding Beer,Eggs,"Fish Seafood",Fruits Excluding Wine,Milk Excluding Butter,Vegetal Products,Vegetable Oils,Vegetables,Obesity
Iran (Islamic Republic of),16.9273,6.0372,5.5867,1.3259,0.6114,0.6243,2.6389,33.0759,20.2935,0.5278,25.5
Iraq,11.1327,3.8118,6.2761,1.9023,0.1441,0.2306,1.7366,38.8673,29.6152,0.1513,27.4
Ireland,27.1689,8.6472,2.7091,0.9231,0.9372,0.2829,6.5464,22.8329,16.1839,0.2405,26.9
Israel,15.8138,1.2809,1.6083,0.87,0.5746,1.6051,4.8443,34.1862,25.1782,0.2857,26.7
Italy,21.8727,5.3931,1.3598,1.0529,0.7327,0.2541,5.9146,28.1306,24.127,0.2277,22.9
Jamaica,23.0867,6.1721,2.2375,0.3242,1.2204,0.4322,5.7081,26.9133,18.1732,0.2924,24.4
Japan,19.4516,1.9098,1.8642,3.1241,3.2666,0.1881,3.2096,30.5456,23.4308,0.3478,4.4
Jordan,12.2622,1.8696,3.7391,0.5224,0.3189,0.198,3.6512,37.7378,29.0553,0.2694,33.4
Kazakhstan,23.4158,3.0343,1.7405,0.8975,0.1321,0.1787,9.5031,26.5822,21.7258,0.3497,21.3
Kenya,17.7332,1.8742,9.9701,0.3438,0.2773,1.0757,8.4951,32.2724,17.5003,0.2107,6
Kiribati,10.5699,0.7467,1.956,0.265,3.0833,0.3517,0.2553,39.4325,7.2939,0.1397,45.6
"Korea, North",11.4709,0.0262,7.2234,1.6911,0.5375,0.6424,0.4195,38.516,27.5957,1.0357,7.1
"Korea, South",20.0483,4.2523,1.8403,1.3524,1.9147,0.1766,1.1386,29.9563,23.7197,0.6924,4.9
Kuwait,19.8923,2.1588,3.0847,2.3242,0.3732,0.3496,5.2766,30.1101,21.215,0.5055,37
Kyrgyzstan,29.1225,3.4472,4.0964,0.8655,0.0895,0.2388,14.2068,20.8849,11.461,0.7163,15.4
Lao People's Democratic Republic,21.6306,3.9594,9.0989,0.4974,1.6871,0.8777,0.2243,28.3792,9.762,1.1118,4.5
Latvia,30.439,10.443,1.5314,1.343,0.8819,0.2526,7.8613,19.563,13.7943,0.2606,25.7
Lebanon,12.4024,2.1637,2.253,0.329,0.3681,0.58,4.3553,37.5976,27.4593,0.3736,31.3
Lesotho,12.96,0.529,18.3763,0.2415,0.253,0.1495,2.4149,37.0285,16.3523,0.1725,13.5
Liberia,7.4228,0.4154,3.3592,0.2528,0.3702,0.1445,0.2438,42.5772,36.4186,0.1896,8.6
Lithuania,32.3048,9.388,1.7819,1.9226,1.238,0.3283,5.4302,17.6975,12.7128,0.2579,28.4
